Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2022-10-17,-0.023090887944562793,2545,-0.021752064052141088,-0.023089603223079857
2022-10-18,-0.029977829424625225,2609,-0.029537836166721697,-0.02998224271343739
2022-10-19,-0.034954841217974444,2649,-0.03304087720063284,-0.03496111613366332
2022-10-20,-0.02626716437159318,2627,-0.025763065780571352,-0.026267223232715377
2022-10-21,-0.01668519971722648,2639,-0.015485269655649194,-0.01669861234920998
2022-10-24,-0.028946576754714803,2666,-0.0284897884152899,-0.028952787906635045
2022-10-25,-0.025801894519399852,2654,-0.025033931915624728,-0.0257961970256168
2022-10-26,-0.026165704625810488,2711,-0.025203613052831225,-0.026166570180474254
2022-10-27,-0.014039077187210576,2650,-0.012966466816457412,-0.014029368501405457
2022-10-28,-0.018075391023181304,2646,-0.017326502967671697,-0.018089530840396238
2022-10-31,-0.023896523557680956,2584,-0.024286564865700067,-0.023893439146624642
2022-11-01,-0.017884379939961732,2660,-0.01683245319489953,-0.017878444006288595
2022-11-02,-0.009941148227083587,2633,-0.010854910476428808,-0.009945031403945478
2022-11-03,-0.010474633075320192,2642,-0.008679979083501287,-0.010474088297600565
2022-11-04,-0.011966635964163216,2682,-0.010376748326601529,-0.011956770665122506
2022-11-07,-0.01596303458856211,2682,-0.013552842441923098,-0.015963356651054795
2022-11-08,-0.010108910355692259,2673,-0.008764860108921205,-0.010110540566036327
2022-11-09,-0.002855281248544362,2654,-0.0022675158596214126,-0.0028576542906323683
2022-11-10,-0.016106205622881408,2620,-0.015657642168477755,-0.016111572319238838
2022-11-11,-0.011379057816129063,2673,-0.010234847501966156,-0.0113883867554389
2022-11-14,-0.013790745361801582,2682,-0.012596489512915534,-0.013796199665714017
2022-11-15,-0.021470384979661625,2682,-0.019648876776062925,-0.02147047462721617
2022-11-16,-0.027358011449137,2628,-0.02592810286474185,-0.02736511055632843
2022-11-17,-0.0022509446484429195,2652,-0.0007532021679442466,-0.0022495585036575584
2022-11-18,-0.010107874504241054,2635,-0.00928184336609178,-0.010117957865686275
2022-11-21,-0.022040062843938543,2622,-0.01901774550475861,-0.02203690172994989
2022-11-22,-0.017034780788015343,2565,-0.014976555842910695,-0.017010512748384214
2022-11-23,-0.010615282362873,2604,-0.00835639844793426,-0.010613210057052538
2022-11-24,-0.0003080188419361355,2539,0.0007098087647056883,-0.0002819970858163628
2022-11-25,-0.013545978044573095,2643,-0.013125256607275697,-0.013560780433701495
2022-11-28,-0.02287266604514462,2640,-0.021791384542933334,-0.022878704942501396
2022-11-29,-0.004056505700251113,2606,-0.006469739441209727,-0.004036945461498097
2022-11-30,-0.008251572688883334,2654,-0.007692355701180815,-0.008251436620051254
2022-12-01,-0.01601281038704347,2628,-0.013923075856160004,-0.016017725439170894
2022-12-02,-0.011637097676769743,2640,-0.010122014324378597,-0.011635211823009748
2022-12-05,-0.018767315883359663,2632,-0.017345513126953864,-0.01876429888586668
2022-12-06,-0.018823333765666573,2665,-0.01738858886495255,-0.0188239105234965
2022-12-07,-0.02636846818758424,2563,-0.025642607199292157,-0.026368734050385378
2022-12-08,-0.023411465771196453,2602,-0.02204425523503809,-0.023413885971105632
2022-12-09,-0.006304029215251739,2604,-0.0061549358716953915,-0.006328450869114004
2022-12-12,-0.02919705962066648,2644,-0.027777041990170063,-0.029192419668553838
2022-12-13,-0.017429805687039585,2680,-0.015718100156484453,-0.017428800475192855
2022-12-14,-0.017713475425728483,2655,-0.017219408432204434,-0.01771276659281223
2022-12-15,-0.020196922265090303,2699,-0.020002206118911174,-0.020194929191388118
2022-12-16,-0.015486458741185307,2675,-0.01561025866387846,-0.01548696857603531
2022-12-19,-0.01593531016873146,2672,-0.014613195914813215,-0.01592834248175999
2022-12-20,-0.02514306455871623,2672,-0.023486901286351555,-0.02513892110958823
2022-12-21,-0.02247529353824803,2669,-0.021843396926474985,-0.022475657688189956
2022-12-22,-0.011712934854679027,2693,-0.01026524824721095,-0.01170551183621192
2022-12-23,-0.01399653834449414,2656,-0.015182880587570027,-0.014017623613416396
2022-12-26,-0.025635502447816063,2406,-0.024945016023351377,-0.025713445125371957
2022-12-27,-0.026226291349991816,2661,-0.024864192536825893,-0.026211509225000217
2022-12-28,-0.02096959177277026,2644,-0.019607886463073827,-0.02096576672910961
2022-12-29,-0.025009492092885898,2642,-0.024830521631161808,-0.025027990864328224
2022-12-30,-0.014079988427547482,2675,-0.015706995401558413,-0.014104985008146838
2023-01-03,-0.0167981589585045,2664,-0.01657648298258059,-0.016803588502236448
2023-01-04,-0.014473436178386093,2677,-0.012584562844490346,-0.014473889041822665
2023-01-05,-0.0106749489785838,2675,-0.0099956063418332,-0.01067646619443522
2023-01-06,-0.00809051399372054,2651,-0.00890464522145009,-0.008093206723435487
2023-01-09,-0.008739973535785057,2699,-0.007910046070247926,-0.008736184715286277
2023-01-10,-0.020680166316296312,2607,-0.01817781239774369,-0.020677480738633725
2023-01-11,-0.012212415529047496,2684,-0.010986798846559415,-0.012206082316810326
2023-01-12,-0.023997910202359703,2627,-0.023622226898242078,-0.024008748958296047
2023-01-13,-0.02212184202469426,2649,-0.0206444967500889,-0.02216291525887792
2023-01-16,-0.013730325170744871,2341,-0.01319770030264323,-0.013615603071783758
2023-01-17,-0.005846423854058645,2665,-0.00628751476372787,-0.005839016536340085
2023-01-18,-0.011793840492099817,1311,-0.011713670321084927,-0.011793840706183745
2023-01-19,-0.032425906617163165,1156,-0.03196606936581787,-0.03242590848936782
2023-01-26,-0.02049532940349206,1284,-0.019201211555445297,-0.020495329981456752
2023-01-27,-0.014497427328343327,1294,-0.01264767597227845,-0.014497427363894191
2023-01-30,-0.0159952110020256,2623,-0.01591558181060546,-0.015989211418103062
2023-01-31,-0.01159027687372245,2487,-0.010985346423298981,-0.0115456785377286
2023-02-01,-0.01021672222748983,2643,-0.010083250460518521,-0.010221437987404141
2023-02-02,0.002148816785886269,2663,0.0026562814364293284,0.0021520316300096087
2023-02-03,-0.011409181838639645,2563,-0.009411308882137231,-0.011427409157803667
2023-02-06,-0.01515953781225442,2621,-0.012434505860783762,-0.015155311781001402
2023-02-07,-0.01173352405365441,2528,-0.009245981280221914,-0.011723045277361122
2023-02-08,0.0005048120013389285,2597,0.0026015869656387264,0.0005321740622766775
2023-02-09,-0.0002190546428720213,2602,0.0033695444245085667,-0.00017039557111488777
2023-02-10,-0.011321603171639098,2565,-0.010060114396444688,-0.011323648631541845
2023-02-13,-0.013131004356911861,2583,-0.012326114383913931,-0.01314102388473212
2023-02-14,-0.008153312580407461,2583,-0.006274383674001956,-0.008122811663088378
2023-02-15,-0.021869302201731514,2640,-0.020655066882792814,-0.021858950357541096
2023-02-16,-0.010625826823206109,2639,-0.009282485548400284,-0.010615396542745627
2023-02-17,-0.010889414885432214,2611,-0.01032081277358396,-0.01087405323060181
2023-02-20,0.002470853793127109,2725,0.003281542038513335,0.002463242338480182
2023-02-21,-0.008745111614929978,2735,-0.008378149941905532,-0.008727315113998282
2023-02-22,-0.013510566773595073,2572,-0.0135464141773173,-0.013500688748719333
2023-02-23,-0.0025476996354839277,2658,-0.001665253424187694,-0.002533935779967679
2023-02-24,-0.011745448553750709,2628,-0.011564983965468345,-0.011765448347135702
2023-03-01,-0.016396372523580532,2636,-0.01572142349488906,-0.01638607688672545
2023-03-02,-0.025255494896140953,2639,-0.023695678807175588,-0.025250124193352347
2023-03-03,-0.0019970278380733023,2678,-0.0016935142756095982,-0.002006251297626172
2023-03-06,-0.006120014896650836,2599,-0.004338351268418422,-0.006101764966486213
2023-03-07,-0.007470082631443756,2654,-0.005604929405658827,-0.007418562982695511
2023-03-08,-0.016043060777595305,2632,-0.016626435133212596,-0.016043227484121476
2023-03-09,-0.010255550460782022,2631,-0.009992818964496292,-0.010233966256211553
2023-03-10,-0.017865919127815138,2688,-0.018494652699802133,-0.01786521438156217
2023-03-13,-0.023867213238842604,2617,-0.02228637415894443,-0.02385667581503083
2023-03-14,-0.018253933475392642,2621,-0.018311195564647272,-0.01825124829711915
2023-03-15,-0.010142774533117358,2729,-0.009319703800409918,-0.010139821061860368
2023-03-16,-0.019902907155631734,2596,-0.01899715167208764,-0.019893543196181012
2023-03-17,-0.005905970043684313,2592,-0.007132984778896982,-0.005914668103677711
2023-03-20,-0.02647753045636195,2665,-0.026119849943746637,-0.026477035296712487
2023-03-21,-0.015545792544234624,2588,-0.01420062484267844,-0.015537908037036263
2023-03-22,-0.013260346910172496,2652,-0.011361805697506284,-0.013246789754736216
2023-03-23,-0.010741628398115358,2657,-0.009881630731763145,-0.010748096563950182
2023-03-24,-0.01005725656498315,2638,-0.010316885287532836,-0.010046800922260724
2023-03-27,-0.02108772478866471,2653,-0.02034290439173736,-0.021072172884910093
2023-03-28,-0.015687403093782082,2621,-0.016073353319456998,-0.015687270253307968
2023-03-29,-0.005005843101874021,2547,-0.003808890606713078,-0.00501209579914485
